player,5v5 TOI,date,opponent,5v5 ixG,5v5 xGF%,5v5 OGPs,5v5 Contested LPR win%,5v5 Entry Success %,5v5 Exit Success %
Brett Kulak,16:54,2021-10-13,TOR,0.055,56.7%,2,16.7%,50.0%,50.0%
Alexander Romanov,12:54,2021-10-13,TOR,0.0,11.4%,0,20.0%,,
Jeff Petry,18:35,2021-10-13,TOR,0.01,69.3%,2,50.0%,,100.0%
Josh Anderson,15:54,2021-10-13,TOR,0.646,61.4%,10,60.0%,66.7%,66.7%
Joel Armia,11:12,2021-10-13,TOR,0.008,18.8%,5,12.5%,100.0%,85.7%
Cole Caufield,13:48,2021-10-13,TOR,0.178,34.1%,6,25.0%,100.0%,100.0%
Chris Wideman,11:34,2021-10-13,TOR,0.1,19.4%,2,60.0%,,66.7%
Christian Dvorak,15:06,2021-10-13,TOR,0.145,64.6%,6,0.0%,100.0%,100.0%
Jonathan Drouin,13:58,2021-10-13,TOR,0.508,68.6%,2,0.0%,100.0%,100.0%
Brendan Gallagher,11:04,2021-10-13,TOR,0.163,22.2%,2,50.0%,0.0%,100.0%
Artturi Lehkonen,6:49,2021-10-13,TOR,0.001,4.2%,0,28.6%,,50.0%
Cedric Paquette,6:13,2021-10-13,TOR,0.0,4.0%,0,0.0%,,100.0%
Mathieu Perreault,8:37,2021-10-13,TOR,0.0,6.9%,0,28.6%,,100.0%
Nick Suzuki,14:52,2021-10-13,TOR,0.121,57.1%,6,33.3%,66.7%,85.7%
Tyler Toffoli,14:17,2021-10-13,TOR,0.099,39.3%,2,100.0%,100.0%,50.0%
Ben Chiarot,18:13,2021-10-13,TOR,0.01,36.7%,0,71.4%,0.0%,100.0%
Jake Evans,12:31,2021-10-13,TOR,0.037,16.6%,4,12.5%,0.0%,60.0%
David Savard,17:16,2021-10-13,TOR,0.121,47.9%,0,18.2%,,
Mathieu Perreault,8:34,2021-10-14,BUF,0.019,67.6%,2,71.4%,50.0%,33.3%
Cedric Paquette,7:27,2021-10-14,BUF,0.007,65.1%,2,50.0%,0.0%,0.0%
Artturi Lehkonen,9:46,2021-10-14,BUF,0.013,41.7%,1,33.3%,50.0%,100.0%
Brendan Gallagher,10:47,2021-10-14,BUF,0.101,43.7%,4,25.0%,80.0%,100.0%
Jonathan Drouin,13:09,2021-10-14,BUF,0.116,19.9%,3,16.7%,100.0%,71.4%
Christian Dvorak,13:50,2021-10-14,BUF,0.0,25.8%,3,37.5%,100.0%,75.0%
Josh Anderson,13:21,2021-10-14,BUF,0.013,20.5%,1,0.0%,50.0%,66.7%
Joel Armia,8:06,2021-10-14,BUF,0.125,42.4%,6,60.0%,50.0%,100.0%
Cole Caufield,12:44,2021-10-14,BUF,0.091,43.2%,1,0.0%,33.3%,88.9%
Jake Evans,11:49,2021-10-14,BUF,0.075,38.2%,2,38.5%,,75.0%
Nick Suzuki,11:28,2021-10-14,BUF,0.036,21.9%,5,12.5%,100.0%,80.0%
Ben Chiarot,15:44,2021-10-14,BUF,0.051,39.1%,2,50.0%,0.0%,100.0%
Brett Kulak,14:47,2021-10-14,BUF,0.003,36.2%,0,20.0%,100.0%,66.7%
Jeff Petry,14:29,2021-10-14,BUF,0.011,12.9%,1,50.0%,,
Alexander Romanov,15:51,2021-10-14,BUF,0.022,20.4%,3,42.9%,100.0%,
David Savard,14:30,2021-10-14,BUF,0.203,50.3%,5,50.0%,,100.0%
Chris Wideman,11:59,2021-10-14,BUF,0.258,58.0%,1,40.0%,,100.0%
Tyler Toffoli,9:53,2021-10-14,BUF,0.014,19.8%,2,20.0%,100.0%,100.0%
Josh Anderson,14:45,2021-10-16,NYR,0.201,54.1%,4,0.0%,50.0%,60.0%
Cole Caufield,10:35,2021-10-16,NYR,0.068,78.4%,3,,66.7%,25.0%
Alexander Romanov,14:07,2021-10-16,NYR,0.019,79.2%,3,50.0%,,
Jonathan Drouin,14:50,2021-10-16,NYR,0.21,54.5%,4,0.0%,66.7%,66.7%
Jeff Petry,15:34,2021-10-16,NYR,0.017,81.2%,1,40.0%,,100.0%
Brett Kulak,12:30,2021-10-16,NYR,0.0,71.2%,1,66.7%,100.0%,0.0%
Ben Chiarot,19:31,2021-10-16,NYR,0.029,26.2%,0,50.0%,100.0%,100.0%
Tyler Toffoli,12:30,2021-10-16,NYR,0.255,44.9%,4,50.0%,50.0%,83.3%
Cedric Paquette,6:32,2021-10-16,NYR,0.046,65.9%,2,33.3%,,100.0%
